,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.396779350471468,9.0
1,SNX-USD,ENJ-USD,6.338528343089518,10.0
2,SNX-USD,ZRX-USD,9.668155929969657,11.0
3,SNX-USD,CRV-USD,2.6053024842316295,5.0
4,SNX-USD,DOGE-USD,30.039292916721237,13.0
5,XTZ-USD,ETC-USD,0.050359691060341494,18.0
6,XTZ-USD,ZEC-USD,0.027138464661762778,4.0
7,XTZ-USD,MKR-USD,0.0014079612095704722,5.0
8,XTZ-USD,ENJ-USD,2.6432089388191073,4.0
9,XTZ-USD,RUNE-USD,0.7573929636792206,7.0
10,XTZ-USD,FIL-USD,0.19381130061384513,17.0
11,XTZ-USD,ZRX-USD,4.032300400105172,6.0
12,XTZ-USD,YFI-USD,0.00012686788460900174,8.0
13,XTZ-USD,COMP-USD,0.025023616906733322,8.0
14,XTZ-USD,EOS-USD,0.9947130047584583,9.0
15,XTZ-USD,NEAR-USD,0.5427476542736749,8.0
16,XTZ-USD,SUSHI-USD,0.9891520628143172,10.0
17,XTZ-USD,BTC-USD,3.385590018927598e-05,6.0
18,XTZ-USD,CRV-USD,1.0864524112880856,3.0
19,XTZ-USD,AAVE-USD,0.014193640454904038,5.0
20,XTZ-USD,MATIC-USD,1.0266045411644222,7.0
21,XTZ-USD,1INCH-USD,2.1816610627074033,4.0
22,XTZ-USD,AVAX-USD,0.05919329312952213,6.0
23,ICP-USD,ETC-USD,0.2916242557435061,13.0
24,ICP-USD,ZEC-USD,0.1571580325271704,6.0
25,ICP-USD,LINK-USD,0.8078695192073337,8.0
26,ICP-USD,RUNE-USD,4.386778546313294,5.0
27,ICP-USD,ALGO-USD,31.917061379182755,6.0
28,ICP-USD,SUSHI-USD,5.729557417866029,7.0
29,ICP-USD,ADA-USD,14.540183829278611,11.0
30,ICP-USD,CRV-USD,6.2918465862635395,3.0
31,ICP-USD,DOGE-USD,72.57720398890689,4.0
